valid_time,u100,v10,latitude,longitude
2024-01-01 00:00:00,-2.2254333,2.489914,56.75,-2.0
2024-01-01 01:00:00,-1.7085571,2.3758698,56.75,-2.0
2024-01-01 02:00:00,-0.65415955,2.014801,56.75,-2.0
2024-01-01 03:00:00,0.7312622,1.663681,56.75,-2.0
2024-01-01 04:00:00,1.70047,1.4232178,56.75,-2.0
2024-01-01 05:00:00,3.737442,1.1230774,56.75,-2.0
2024-01-01 06:00:00,4.39328,0.45205688,56.75,-2.0
2024-01-01 07:00:00,4.363678,0.46392822,56.75,-2.0
2024-01-01 08:00:00,4.7398834,0.6414795,56.75,-2.0
2024-01-01 09:00:00,5.1698914,1.00531,56.75,-2.0
2024-01-01 10:00:00,5.209549,0.8373718,56.75,-2.0
2024-01-01 11:00:00,5.1648865,0.9456482,56.75,-2.0
2024-01-01 12:00:00,5.182602,1.0432434,56.75,-2.0
2024-01-01 13:00:00,5.569275,1.4561615,56.75,-2.0
2024-01-01 14:00:00,6.172653,1.5613403,56.75,-2.0
2024-01-01 15:00:00,5.482498,1.1026764,56.75,-2.0
2024-01-01 16:00:00,3.9998474,0.7435608,56.75,-2.0
2024-01-01 17:00:00,2.4567413,1.0813141,56.75,-2.0
2024-01-01 18:00:00,0.30848694,1.1903381,56.75,-2.0
2024-01-01 19:00:00,-1.9144592,2.3351746,56.75,-2.0
2024-01-01 20:00:00,-3.247116,4.913849,56.75,-2.0
2024-01-01 21:00:00,-4.758438,6.2006226,56.75,-2.0
2024-01-01 22:00:00,-6.2018585,6.497528,56.75,-2.0
2024-01-01 23:00:00,-7.158783,6.4496155,56.75,-2.0
2024-01-02 00:00:00,-8.37561,6.913025,56.75,-2.0
2024-01-02 01:00:00,-8.90892,6.8259583,56.75,-2.0
2024-01-02 02:00:00,-10.199295,5.1976624,56.75,-2.0
2024-01-02 03:00:00,-12.182785,4.3735504,56.75,-2.0
2024-01-02 04:00:00,-13.281494,4.386154,56.75,-2.0
2024-01-02 05:00:00,-14.182251,4.034134,56.75,-2.0
2024-01-02 06:00:00,-15.291641,3.6298676,56.75,-2.0
2024-01-02 07:00:00,-15.929535,2.8365326,56.75,-2.0
2024-01-02 08:00:00,-16.344894,2.3025055,56.75,-2.0
2024-01-02 09:00:00,-15.430069,1.6003723,56.75,-2.0
2024-01-02 10:00:00,-12.58136,3.6648102,56.75,-2.0
2024-01-02 11:00:00,-8.694733,3.7654877,56.75,-2.0
2024-01-02 12:00:00,-4.5778503,3.165512,56.75,-2.0
2024-01-02 13:00:00,-2.0590668,3.7051544,56.75,-2.0
2024-01-02 14:00:00,0.098739624,4.3067627,56.75,-2.0
2024-01-02 15:00:00,1.9204254,4.5783386,56.75,-2.0
2024-01-02 16:00:00,2.0197601,4.28566,56.75,-2.0
2024-01-02 17:00:00,1.0351868,3.813797,56.75,-2.0
